document_id,title,document_type,authority,country,jurisdiction,legal_domain,sub_domain,source_tier,publication_date,effective_date,last_updated,version,status,language,file_format,official_url,download_url,source_page_url,file_size_if_available,ocr_required,supersedes,superseded_by,related_documents,keywords,relevance_to_IP_SAKTI,authority_level,citation_identifier,notes
NAT-DC-001,"The Drugs and Cosmetics Act, 1940 (Act No. 23 of 1940)",Act,"Ministry of Law and Justice (India Code)",India,National,Drugs Regulation,Drug Classification and Licensing,A,1940-04-10,1940-04-10,2008,Consolidated (amended up to Act 26 of 2008),CURRENT,English,PDF,https://www.indiacode.nic.in/handle/123456789/2409,https://www.indiacode.nic.in/bitstream/123456789/15278/1/drug_cosmeticsa1940-23.pdf,https://www.indiacode.nic.in/handle/123456789/2409,null,false,null,null,"NAT-DC-002, NAT-DC-003, NAT-DC-004, NAT-DC-005","ASU drugs, patent medicines, proprietary medicines, drug classification, licensing","Core legislation defining drug categories (ASU, patent/proprietary); essential for determining IP regime applicability",Primary Legislation - National,Act 23 of 1940,Basis for all ASU drug regulation; defines product classification; critical for determining whether product falls under drugs vs cosmetics vs food
NAT-DC-002,"The Drugs Rules, 1945 (as amended up to 2024)",Rules,CDSCO / Ministry of Health,India,National,Drugs Regulation,"Drug Licensing, Labelling and Quality Standards",A,1945-12-21,1945-12-21,2024-09-19,Consolidated (as amended up to 2024),AMENDED,English,PDF,https://cdsco.gov.in/opencms/opencms/en/Acts-and-rules/Drugs-Rules/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2022/drug_rules/Drugs%20Rules%201945_2024%2009.pdf,https://cdsco.gov.in/opencms/opencms/en/Acts-and-rules/Drugs-Rules/,null,false,null,null,"NAT-DC-001, NAT-DC-003, NAT-DC-004, NAT-DC-005","Rule 158B, ASU licensing, labelling requirements, Rule 161, 161A, 161B, Rule 170, quality standards","Specifies ASU drug licensing procedure (Rule 158B), labelling requirements, and quality standards; critical for classification and IP regime determination",Secondary Legislation - National,Drugs Rules 1945,"Contains Rule 158B (ASU licensing), Rules 161, 161A, 161B (labelling), Rule 170 (quality standards); regularly amended"
NAT-DC-003,"Drugs and Cosmetics (5th Amendment) Rules, 2013 (G.S.R. 588(E))",Amendment Rules,"Ministry of AYUSH / MoHFW",India,National,Drugs Regulation,ASU Drug Amendments,A,2013-08-30,2013-08-30,2013,5th Amendment,CURRENT,English,PDF,null,null,null,null,true,null,null,"NAT-DC-001, NAT-DC-002, NAT-DC-004","5th Amendment, ASU drugs, Gazette notification","Amendment affecting ASU drug classification and licensing provisions",Secondary Legislation - National (Amendment),G.S.R. 588(E) 2013,"VERIFICATION REQUIRED: Locate official gazette publication link; current mirror from pharmexcil.com not verified as primary source; need to verify against Ministry of AYUSH gazette archive"
NAT-DC-004,"Drugs (Eleventh Amendment) Rules, 2026 (G.S.R. notification 24 July 2026)",Amendment Rules,Ministry of AYUSH,India,National,Drugs Regulation,ASU Drug Recent Amendments,A,2026-07-24,2026-07-24,2026,11th Amendment,CURRENT,English,PDF,https://ayushnext.ayush.gov.in/drugs/Drugs-and-Cosmetics-Act-Amendment-in-last-2-years.pdf,https://ayushnext.ayush.gov.in/drugs/Drugs-and-Cosmetics-Act-Amendment-in-last-2-years.pdf,https://ayushnext.ayush.gov.in/drugs/Drugs-and-Cosmetics-Act-Amendment-in-last-2-years.pdf,null,false,null,null,"NAT-DC-001, NAT-DC-002, NAT-DC-003","11th Amendment, ASU drugs, licence validity, labelling, GMP","Recent amendment (2026) affecting ASU drug licensing validity period, labelling requirements, and GMP compliance",Secondary Legislation - National (Amendment),G.S.R. 2026 (Eleventh Amendment),"VERIFICATION REQUIRED: Verify against official Ministry of AYUSH gazette archive; check for gazette notification details"
NAT-DC-005,Advisory on ASU Drugs Licensing (J-11019/01/2017-DCC(AYUSH)),Advisory/Guideline,Ministry of AYUSH,India,National,Drugs Regulation,ASU Drug Guidance and Interpretation,B,2017,2017,2024,Current Advisory,CURRENT,English,PDF,https://ayush.gov.in/resources/pdf/quality_standards/Advisory.pdf,https://ayush.gov.in/resources/pdf/quality_standards/Advisory.pdf,https://ayush.gov.in/resources/pdf/quality_standards/Advisory.pdf,null,false,null,null,"NAT-DC-001, NAT-DC-002, NAT-DC-006","ASU licensing, Rule 158B, Rule 161, 161A, 161B, implementation guidance","Official guidance for implementation of ASU drug licensing rules; clarifies regulatory expectations",Secondary Guidance - National Authority,AYUSH Advisory J-11019/01/2017,"Guidance document from Ministry of AYUSH; useful for understanding administrative implementation of licensing rules"
NAT-DC-006,Rule 170 of Drugs and Cosmetics Rules 1945 (AYUSH advisory),Notification/Advisory,Ministry of AYUSH,India,National,Drugs Regulation,Quality Standards for Drugs,B,null,null,null,null,UNKNOWN,English,PDF,https://ayush.gov.in/resources/pdf/quality_standards/Rule170DrugsandCosmeticsRules1945.pdf,https://ayush.gov.in/resources/pdf/quality_standards/Rule170DrugsandCosmeticsRules1945.pdf,https://ayush.gov.in/resources/pdf/quality_standards/Rule170DrugsandCosmeticsRules1945.pdf,null,false,null,null,"NAT-DC-001, NAT-DC-002","Rule 170, quality standards, ASU drugs, standards specifications","Establishes quality and testing standards for ASU drugs; relevant to product classification and compliance determination",Secondary Regulation - National,Rule 170 Advisory,"VERIFICATION REQUIRED: Publication date and version not verified; likely extracted from Drugs Rules 1945; need independent confirmation"
NAT-PA-001,"The Patents Act, 1970 (Act No. 39 of 1970)",Act,"Ministry of Law and Justice (India Code)",India,National,Patents,Patent Eligibility and Exclusions,A,1970-09-19,1970-09-19,2025-10-01,Consolidated (as on 1 October 2025),CURRENT,English,PDF,https://www.indiacode.nic.in/bitstream/123456789/1392/1/A1970-39.pdf,https://www.indiacode.nic.in/bitstream/123456789/1392/1/A1970-39.pdf,https://www.indiacode.nic.in/bitstream/123456789/1392/1/A1970-39.pdf,null,false,null,null,"NAT-PA-002, NAT-PA-003, NAT-PA-004, NAT-TK-001","Section 3(p), traditional knowledge exclusion, patentability, patent eligibility, traditional formulations","CRITICAL: Section 3(p) excludes traditional knowledge from patentability; primary document for determining whether traditional/AYUSH formulations can be patented",Primary Legislation - National,Act 39 of 1970,"Core patent legislation; Section 3(p) is critical for AYUSH formulations; determines patentability boundaries"
NAT-PA-002,"The Patents Rules, 2003 (as amended up to 15 Mar 2024)",Rules,IP India,India,National,Patents,Patent Procedure and Examination,A,2003,2003,2024-03-15,Consolidated,AMENDED,English,PDF,https://ipindia.gov.in/resource/patents-resources-rules,https://ipindia.gov.in/frontend/pdf/patents/rules/Indian_Patent_Rules_2003__1_.pdf,https://ipindia.gov.in/resource/patents-resources-rules,null,false,null,null,"NAT-PA-001, NAT-PA-003","Patent examination, procedural rules, forms, fees, patent filing","Procedural rules for patent application and examination; necessary for understanding patent filing requirements",Secondary Legislation - National,Patents Rules 2003,Updated periodically; current version valid as of March 2024
NAT-PA-003,Manual of Patent Office Practice and Procedure (2019),Manual,IP India,India,National,Patents,Patent Examination Guidelines,B,2019,2019,2019,2019 Edition,CURRENT,English,PDF,https://ipindia.gov.in/Patents/manual_patents,https://ipindia.gov.in/frontend/pdf/patents/Manual_for_Patent_Office_Practice_and_Procedure_.pdf,https://ipindia.gov.in/Patents/manual_patents,null,false,null,NAT-PA-004,"NAT-PA-001, NAT-PA-002, NAT-PA-004","Patent examination guidelines, traditional knowledge considerations, examiner guidance","Provides examination guidelines including traditional knowledge considerations; useful for understanding examiner assessment criteria",Administrative Guidance - National Authority,MOPPP 2019,Superseded by Draft Manual 2026; still referenced for examination procedures
NAT-PA-004,Draft Manual of Patent Office (Practice & Procedure) 2026,Draft Manual,IP India,India,National,Patents,Patent Examination Guidelines,D,2026-08-20,null,2026-08-20,Draft 2026,UNKNOWN,English,PDF,https://ipindia.gov.in/resource/patents-resources-manuals,null,https://ipindia.gov.in/resource/patents-resources-manuals,null,true,NAT-PA-003,null,"NAT-PA-003, NAT-PA-001, NAT-PA-002","Draft manual, patent examination, consultation, not yet final","Draft status; do NOT use as final authority; represents proposed examination guidelines only",Proposed Administrative Guidance - Under Consultation,Draft Manual 2026,"CRITICAL: Not yet final; under consultation process; do not cite as binding authority; verify finalization before use"
